order_id,customer_id,order_date,product_id,quantity,unit_price,status
10001,1105,2026-08-03,P018,5,162.76,COMPLETED
10002,1145,2026-08-20,P043,8,87.28,COMPLETED
10003,1127,2026-08-03,P021,1,113.55,RETURNED
10004,1185,2026-08-01,P015,7,288.46,COMPLETED
10005,1024,2026-08-23,P030,5,29.50,COMPLETED
10006,1193,2026-08-27,P016,4,443.48,CANCELLED
10007,1068,2026-08-01,P027,8,59.66,CANCELLED
10008,1122,2026-08-19,P045,1,280.43,COMPLETED
10009,1028,2026-08-16,P027,4,485.84,RETURNED
10010,1157,2026-08-26,P011,3,229.24,CANCELLED
10011,1022,2026-08-10,P003,7,463.97,COMPLETED
10012,1014,2026-08-13,P001,8,240.62,RETURNED
10013,1132,2026-08-23,P014,8,36.97,COMPLETED
10014,1019,2026-08-12,P035,7,196.83,COMPLETED
10015,1087,2026-08-13,P016,2,11.58,CANCELLED
10016,1006,2026-08-02,P007,1,254.82,COMPLETED
10017,1030,2026-08-05,P011,3,74.88,CANCELLED
10018,1158,2026-08-18,P003,4,438.25,COMPLETED
10019,1020,2026-08-04,P049,1,69.73,RETURNED
10020,1069,2026-08-03,P047,7,287.48,RETURNED
10021,1119,2026-08-04,P028,1,393.62,RETURNED
10022,1011,2026-08-17,P008,8,423.11,COMPLETED
10023,1199,2026-08-20,P028,5,48.88,COMPLETED
10024,1191,2026-08-27,P010,3,283.73,COMPLETED
10025,1035,2026-08-04,P038,7,136.07,COMPLETED
10026,1115,2026-08-17,P010,7,69.56,COMPLETED
10027,1040,2026-08-03,P021,8,19.68,COMPLETED
10028,1010,2026-08-10,P011,7,164.91,COMPLETED
10029,1022,2026-08-24,P034,3,451.51,COMPLETED
10030,1013,2026-08-11,P022,5,321.89,CANCELLED
10031,1044,2026-08-12,P019,6,10.97,COMPLETED
10032,1063,2026-08-09,P024,3,215.28,COMPLETED
10033,1162,2026-08-08,P021,2,333.14,COMPLETED
10034,1032,2026-08-17,P044,8,253.89,COMPLETED
10035,1103,2026-08-05,P006,1,85.74,COMPLETED
10036,1028,2026-08-20,P050,3,17.03,RETURNED
10037,1188,2026-08-14,P030,8,218.40,COMPLETED
10038,1191,2026-08-10,P032,3,97.16,RETURNED
10039,1158,2026-08-01,P004,8,456.89,COMPLETED
10040,1059,2026-08-27,P003,5,309.95,RETURNED
10041,1115,2026-08-13,P049,7,201.79,CANCELLED
10042,1041,2026-08-06,P046,7,25.51,RETURNED
10043,1154,2026-08-14,P005,5,423.73,COMPLETED
10044,1107,2026-08-09,P020,8,70.27,RETURNED
10045,1083,2026-08-11,P041,5,493.84,RETURNED
10046,1089,2026-08-09,P030,5,455.55,CANCELLED
10047,1163,2026-08-23,P029,2,130.11,COMPLETED
10048,1120,2026-08-12,P033,4,134.79,RETURNED
10049,1119,2026-08-07,P050,3,265.35,COMPLETED
10050,1197,2026-08-05,P025,3,404.85,CANCELLED
10051,1137,2026-08-11,P041,5,380.53,COMPLETED
10052,1197,2026-08-05,P039,8,432.01,COMPLETED
10053,1071,2026-08-14,P042,5,177.95,COMPLETED
10054,1040,2026-08-07,P042,1,362.84,COMPLETED
10055,1084,2026-08-10,P049,4,198.53,RETURNED
10056,1052,2026-08-10,P036,6,450.57,RETURNED
10057,1064,2026-08-06,P020,4,76.86,COMPLETED
10058,1100,2026-08-24,P027,4,117.00,RETURNED
10059,1199,2026-08-26,P049,3,493.06,RETURNED
10060,1198,2026-08-20,P031,7,409.82,COMPLETED
10061,1057,2026-08-10,P045,3,335.62,RETURNED
10062,1060,2026-08-18,P041,1,65.39,CANCELLED
10063,1157,2026-08-21,P005,7,45.88,COMPLETED
10064,1003,2026-08-22,P007,8,246.09,COMPLETED
10065,1092,2026-08-03,P048,2,463.43,RETURNED
10066,1055,2026-08-04,P005,7,420.49,COMPLETED
10067,1019,2026-08-08,P008,5,88.62,COMPLETED
10068,1104,2026-08-18,P022,8,438.90,COMPLETED
10069,1154,2026-08-19,P029,2,194.42,COMPLETED
10070,1191,2026-08-01,P039,6,444.62,COMPLETED
10071,1168,2026-08-04,P039,6,41.53,RETURNED
10072,1165,2026-08-27,P038,2,40.44,COMPLETED
10073,1036,2026-08-10,P030,4,17.41,CANCELLED
10074,1174,2026-08-08,P025,3,377.51,COMPLETED
10075,1165,2026-08-13,P027,5,81.56,COMPLETED
10076,1135,2026-08-18,P012,1,418.76,CANCELLED
10077,1114,2026-08-07,P027,3,436.95,COMPLETED
10078,1064,2026-08-23,P006,2,52.98,COMPLETED
10079,1153,2026-08-15,P033,6,122.05,CANCELLED
10080,1048,2026-08-03,P028,5,63.30,COMPLETED
10081,1097,2026-08-05,P043,4,25.06,COMPLETED
10082,1073,2026-08-24,P013,7,445.42,RETURNED
10083,1187,2026-08-24,P033,4,418.53,COMPLETED
10084,1186,2026-08-14,P009,8,157.23,RETURNED
10085,1014,2026-08-24,P023,6,455.06,RETURNED
10086,1143,2026-08-10,P038,8,137.19,COMPLETED
10087,1131,2026-08-16,P038,6,75.46,CANCELLED
10088,1086,2026-08-26,P039,3,329.33,CANCELLED
10089,1074,2026-08-19,P022,3,101.70,COMPLETED
10090,1167,2026-08-23,P018,5,22.93,COMPLETED
10091,1077,2026-08-04,P041,1,14.62,RETURNED
10092,1195,2026-08-20,P031,7,68.04,CANCELLED
10093,1096,2026-08-17,P014,6,402.10,RETURNED
10094,1113,2026-08-24,P046,1,363.44,RETURNED
10095,1033,2026-08-18,P048,7,198.33,CANCELLED
10096,1056,2026-08-20,P016,3,426.30,RETURNED
