order_id,customer_id,product_id,store_id,order_timestamp,quantity,unit_price,discount_amount,currency,order_status
ORD000000001,CUST0004642,PRD000147,STR0070,2026-04-07T10:04:19,3,770.41,98.11,USD,COMPLETED
ORD000000002,CUST0007636,PRD001930,STR0092,2026-07-17T10:45:32,4,2312.17,256.91,GBP,COMPLETED
ORD000000003,CUST0005989,PRD000945,STR0036,2026-04-25T11:05:51,8,1588.69,1863.98,GBP,CANCELLED
ORD000000004,CUST0003561,PRD001762,STR0056,2026-07-09T09:38:35,8,420.18,775.7,INR,COMPLETED
ORD000000005,CUST0000246,PRD001840,STR0022,2026-04-28T14:37:38,2,686.0,290.04,GBP,COMPLETED
ORD000000006,CUST0008594,PRD001360,STR0050,2026-06-14T02:15:52,5,1475.4,131.93,INR,CANCELLED
ORD000000007,CUST0009032,PRD001940,STR0079,2026-02-13T09:43:25,8,1703.26,412.87,GBP,CANCELLED
ORD000000008,CUST0001335,PRD001727,STR0080,2026-03-31T08:43:49,5,2295.11,2387.24,INR,COMPLETED
ORD000000009,CUST0000809,PRD000317,STR0075,2026-01-09T00:05:29,2,1812.68,455.66,GBP,COMPLETED
ORD000000010,CUST0002878,PRD000830,STR0062,2026-04-02T11:13:06,2,1993.97,985.74,GBP,COMPLETED
ORD000000011,CUST0004150,PRD000933,STR0022,2026-01-19T05:13:13,4,716.86,66.8,USD,COMPLETED
ORD000000012,CUST0002375,PRD001512,STR0054,2026-04-05T23:04:01,7,2010.45,2798.01,INR,COMPLETED
ORD000000013,CUST0006310,PRD001287,STR0026,2026-01-09T14:36:01,3,70.9,3.36,USD,RETURNED
ORD000000014,CUST0004136,PRD000512,STR0077,2026-04-08T09:13:46,8,250.7,218.32,GBP,COMPLETED
ORD000000015,CUST0000005,PRD001379,STR0003,2026-07-09T00:05:12,7,1132.86,58.18,INR,COMPLETED
ORD000000016,CUST0000232,PRD000365,STR0046,2026-02-21T01:25:49,4,732.22,351.96,INR,COMPLETED
ORD000000017,CUST0003459,PRD001808,STR0078,2026-07-02T20:21:45,2,1466.81,724.18,INR,COMPLETED
ORD000000018,CUST0005193,PRD001935,STR0051,2026-06-21T12:34:35,5,1917.23,406.77,GBP,COMPLETED
ORD000000019,CUST0005368,PRD000421,STR0078,2026-06-01T13:36:21,2,1427.75,658.82,GBP,COMPLETED
ORD000000020,CUST0000150,PRD001183,STR0035,2026-03-17T16:22:58,7,1505.45,243.99,GBP,CANCELLED
ORD000000021,CUST0000808,PRD000503,STR0044,2026-02-27T03:48:41,6,2090.85,1558.23,GBP,RETURNED
ORD000000022,CUST0004378,PRD001121,STR0098,2026-01-16T14:48:24,3,1660.48,97.02,GBP,COMPLETED
ORD000000023,CUST0008499,PRD000985,STR0017,2026-05-31T09:27:38,3,1949.73,1294.68,USD,COMPLETED
